key,rmse
0,3219.961300017497
1,3849.446218936526
2,3085.537728228103
3,2347.94660105376
4,1948.7489626965398
5,2167.7547178961736
6,2072.228547243273
7,2344.661340732556
8,2426.9353398489325
9,2596.1706893408955
10,2961.6405449083404
11,2889.8207528978714
12,2154.8025665193677
13,2158.4712643156704
14,1921.8843935157415
15,2834.3848575605616
16,3664.915494380165
17,3424.9564718967576
18,2999.7419513384757
19,3305.052141133947
20,3386.9951292011688
21,2818.4788679586204
22,2660.775235012064
23,2554.9240868603497
