key,rmse
0.0,845.212892913447
1.0,706.3781222515424
2.0,724.3133558586956
3.0,792.0019969641013
4.0,1596.39527275265
5.0,1177.2737332837003
6.0,649.9049785722524
7.0,1277.000060763409
8.0,5887.722949726603
9.0,14063.595045933564
10.0,21008.48439666427
11.0,25820.31818085611
12.0,29144.831986285517
13.0,30266.635301673774
14.0,28969.36970398729
15.0,28078.211274104546
16.0,22736.87387141557
17.0,20292.65489837399
18.0,15164.797667721912
19.0,10256.922746669798
20.0,6809.120190523793
21.0,2658.5780691162995
22.0,1906.8827216475395
23.0,1339.0826446407689
