key,rmse
0.0,7678.12235073788
1.0,3682.197745598383
2.0,2783.6903853652516
3.0,2204.397329838885
4.0,2040.7308905009054
5.0,2283.2792598453902
6.0,2043.0047671492991
7.0,2477.968230486901
8.0,2354.3501309772396
9.0,2429.877174650467
10.0,3009.5880461122847
11.0,2666.790580268487
12.0,1997.9721307344398
13.0,2147.395504939467
14.0,1927.2865902749902
15.0,2381.8134912470628
16.0,2383.496594947644
17.0,3255.713341587837
18.0,3057.2076496021177
19.0,3020.507464995896
20.0,3519.6677217070064
21.0,2585.9951986439937
22.0,2479.7962145458746
23.0,2367.889392334639
